"filename", "language", "JSON", "Markdown", "JavaScript", "HTML", "Properties", "JSON with Comments", "comment", "blank", "total"
"c:\Users\janis\flutter_projects\renx\renx_backend\.env", "Properties", 0, 0, 0, 0, 8, 0, 0, 0, 8
"c:\Users\janis\flutter_projects\renx\renx_backend\README.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\janis\flutter_projects\renx\renx_backend\config\db.js", "JavaScript", 0, 0, 33, 0, 0, 0, 6, 5, 44
"c:\Users\janis\flutter_projects\renx\renx_backend\config\mailconfig.js", "JavaScript", 0, 0, 8, 0, 0, 0, 11, 1, 20
"c:\Users\janis\flutter_projects\renx\renx_backend\data_import\17.04.2023\au_step_names.json", "JSON", 917, 0, 0, 0, 0, 0, 0, 0, 917
"c:\Users\janis\flutter_projects\renx\renx_backend\data_import\17.04.2023\au_steps.json", "JSON", 76991, 0, 0, 0, 0, 0, 0, 0, 76991
"c:\Users\janis\flutter_projects\renx\renx_backend\data_import\17.04.2023\comments.json", "JSON", 51609, 0, 0, 0, 0, 0, 0, 0, 51609
"c:\Users\janis\flutter_projects\renx\renx_backend\data_import\17.04.2023\contracts.json", "JSON", 249, 0, 0, 0, 0, 0, 0, 0, 249
"c:\Users\janis\flutter_projects\renx\renx_backend\data_import\17.04.2023\energy_projects.json", "JSON", 13380, 0, 0, 0, 0, 0, 0, 0, 13380
"c:\Users\janis\flutter_projects\renx\renx_backend\data_import\17.04.2023\energy_tasks.json", "JSON", 5570, 0, 0, 0, 0, 0, 0, 0, 5570
"c:\Users\janis\flutter_projects\renx\renx_backend\data_import\17.04.2023\phases.json", "JSON", 940, 0, 0, 0, 0, 0, 0, 0, 940
"c:\Users\janis\flutter_projects\renx\renx_backend\data_import\17.04.2023\projects.json", "JSON", 4107, 0, 0, 0, 0, 0, 0, 0, 4107
"c:\Users\janis\flutter_projects\renx\renx_backend\data_import\17.04.2023\tasks.json", "JSON with Comments", 0, 0, 0, 0, 0, 32407, 0, 0, 32407
"c:\Users\janis\flutter_projects\renx\renx_backend\data_import\17.04.2023\users.json", "JSON", 1216, 0, 0, 0, 0, 0, 0, 0, 1216
"c:\Users\janis\flutter_projects\renx\renx_backend\data_import\au.json", "JSON", 87923, 0, 0, 0, 0, 0, 0, 0, 87923
"c:\Users\janis\flutter_projects\renx\renx_backend\data_import\au_name.json", "JSON", 1007, 0, 0, 0, 0, 0, 0, 0, 1007
"c:\Users\janis\flutter_projects\renx\renx_backend\data_import\comments.json", "JSON", 54235, 0, 0, 0, 0, 0, 0, 1, 54236
"c:\Users\janis\flutter_projects\renx\renx_backend\data_import\energy_project.json", "JSON", 12851, 0, 0, 0, 0, 0, 0, 0, 12851
"c:\Users\janis\flutter_projects\renx\renx_backend\data_import\projects.json", "JSON", 1199, 0, 0, 0, 0, 0, 0, 1, 1200
"c:\Users\janis\flutter_projects\renx\renx_backend\data_import\task_contracts.json", "JSON", 30688, 0, 0, 0, 0, 0, 0, 0, 30688
"c:\Users\janis\flutter_projects\renx\renx_backend\data_import\task_energy.json", "JSON", 6150, 0, 0, 0, 0, 0, 0, 0, 6150
"c:\Users\janis\flutter_projects\renx\renx_backend\data_import\users.json", "JSON", 1174, 0, 0, 0, 0, 0, 0, 0, 1174
"c:\Users\janis\flutter_projects\renx\renx_backend\data_import\users_groups.json", "JSON", 75, 0, 0, 0, 0, 0, 0, 0, 75
"c:\Users\janis\flutter_projects\renx\renx_backend\methods\au_step.js", "JavaScript", 0, 0, 235, 0, 0, 0, 2, 13, 250
"c:\Users\janis\flutter_projects\renx\renx_backend\methods\au_step_name.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 3, 32
"c:\Users\janis\flutter_projects\renx\renx_backend\methods\comment.js", "JavaScript", 0, 0, 194, 0, 0, 0, 16, 11, 221
"c:\Users\janis\flutter_projects\renx\renx_backend\methods\contract.js", "JavaScript", 0, 0, 115, 0, 0, 0, 13, 16, 144
"c:\Users\janis\flutter_projects\renx\renx_backend\methods\country.js", "JavaScript", 0, 0, 40, 0, 0, 0, 0, 3, 43
"c:\Users\janis\flutter_projects\renx\renx_backend\methods\energy_project.js", "JavaScript", 0, 0, 762, 0, 0, 0, 41, 54, 857
"c:\Users\janis\flutter_projects\renx\renx_backend\methods\feed.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 3, 27
"c:\Users\janis\flutter_projects\renx\renx_backend\methods\general.js", "JavaScript", 0, 0, 474, 0, 0, 0, 36, 28, 538
"c:\Users\janis\flutter_projects\renx\renx_backend\methods\middleware.js", "JavaScript", 0, 0, 19, 0, 0, 0, 1, 4, 24
"c:\Users\janis\flutter_projects\renx\renx_backend\methods\milestone.js", "JavaScript", 0, 0, 220, 0, 0, 0, 12, 19, 251
"c:\Users\janis\flutter_projects\renx\renx_backend\methods\project.js", "JavaScript", 0, 0, 283, 0, 0, 0, 13, 28, 324
"c:\Users\janis\flutter_projects\renx\renx_backend\methods\task.js", "JavaScript", 0, 0, 554, 0, 0, 0, 22, 22, 598
"c:\Users\janis\flutter_projects\renx\renx_backend\methods\technology.js", "JavaScript", 0, 0, 40, 0, 0, 0, 0, 3, 43
"c:\Users\janis\flutter_projects\renx\renx_backend\methods\user.js", "JavaScript", 0, 0, 359, 0, 0, 0, 15, 37, 411
"c:\Users\janis\flutter_projects\renx\renx_backend\methods\users_group.js", "JavaScript", 0, 0, 91, 0, 0, 0, 0, 3, 94
"c:\Users\janis\flutter_projects\renx\renx_backend\models\au_step.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 2, 33
"c:\Users\janis\flutter_projects\renx\renx_backend\models\au_step_name.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 2, 34
